# Generated from Météo-France radar-tables-decodage-20250515.zip
# code|abbreviation|type|name|unit|scale|reference|width|crex_unit|crex_scale|crex_width
001032|meteoFranceLocal001032|table|GENERATING APPLICATION|Code table|0|0|8|NA|0|0
001192|meteoFranceLocal001192|table|TABLE DES COMPOSITES|Code table|0|0|8|NA|0|0
001193|meteoFranceLocal001193|table|TABLE DES IDENTIFICATEURS DES DONNEES COMBINEES|Code table|0|0|8|NA|0|0
001194|meteoFranceLocal001194|string|CARRIER BALLOON/DROP TEMP|CCITT IA|0|0|72|NA|0|0
001195|meteoFranceLocal001195|string|MOBIL LAND STATION IDENTIFIER|CCITT IA|0|0|72|NA|0|0
001196|meteoFranceLocal001196|long|NUMERO DE DEPARTEMENT|NUMERIQUE|0|0|8|NA|0|0
001197|meteoFranceLocal001197|long|NUMERO DE COMMUNE ET NUMERO DE  STATION DANS LA COMMUNE|NUMERIQUE|0|0|21|NA|0|0
001198|meteoFranceLocal001198|table|TYPE DE SPEMET|Code table|0|0|2|NA|0|0
001199|meteoFranceLocal001199|table|OBJET PRINCIPAL DU SPEMET|Code table|0|0|4|NA|0|0
001200|meteoFranceLocal001200|long|WMO REGION SUB-AREA|Numeric|0|0|4|NA|0|0
001208|meteoFranceLocal001208|double|X-VELOCITY FROM EARTH'S CENTRE IN DIRECTION 0 EST|m/s|5|-1073741824|31|NA|0|0
001209|meteoFranceLocal001209|double|Y-VELOCITY FROM EARTH'S CENTRE IN DIRECTION 90 EST|m/s|5|-1073741824|31|NA|0|0
001210|meteoFranceLocal001210|double|Z-VELOCITY FROM EARTH'S CENTRE IN DIRECTION NORTH POLE|m/s|5|-1073741824|31|NA|0|0
002192|meteoFranceLocal002192|table|TYPE DE RADAR|Code table|0|0|8|NA|0|0
002193|meteoFranceLocal002193|table|TYPE DE CALCULATEUR|Code table|0|0|8|NA|0|0
002194|meteoFranceLocal002194|table|INDICATEUR DU DERNIER ETALONNAGE|Code table|0|0|8|NA|0|0
002195|meteoFranceLocal002195|long|FREQUENCE DU DERNIER ETALONNAGE|Hz|-6|0|16|NA|0|0
002196|meteoFranceLocal002196|long|REGLAGE BAS DU DERNIER ETALONNAGE|Numeric|0|0|16|NA|0|0
002197|meteoFranceLocal002197|long|REGLAGE HAUT DU DERNIER ETALONNAGE|Numeric|0|0|16|NA|0|0
002198|meteoFranceLocal002198|table|INDICATEUR D ARRET OU DE PANNE|Code table|0|0|8|NA|0|0
002199|meteoFranceLocal002199|double|CONSTANTE RADAR|dB|1|-1000|16|NA|0|0
002200|meteoFranceLocal002200|table|INDICATEUR DE FONCTIONNEMENT DE L ELIMINATEUR ECHOS FIXES|Code table|0|0|2|NA|0|0
002201|meteoFranceLocal002201|table|INDICATEUR DE POSITIONNEMENT EN SITE INHIBE|Code table|0|0|2|NA|0|0
002202|meteoFranceLocal002202|table|SENS DE BALAYAGE EN AZIMUT|Code table|0|0|2|NA|0|0
002203|meteoFranceLocal002203|table|WAVE MEASUREMENT INSTRUMENTATION|Code table|0|0|2|NA|0|0
002204|meteoFranceLocal002204|table|INDICATEUR DES UNITES DE VITESSE DU VENT ET DU TYPE D'INSTRUMENTS UTILISES|Code table|0|0|3|NA|0|0
004192|meteoFranceLocal004192|long|PERIODE A LAQUELLE SE RAPPORTE  LA VALEUR SUIVANTE|MINUTE|0|0|8|NA|0|0
004193|meteoFranceLocal004193|long|HEURE EFFECTIVE DU LANCEMENT DE LA RADIOSONDE|HOUR|0|0|5|NA|0|0
004194|meteoFranceLocal004194|long|MINUTES EFFECTIVES DU LANCEMENT DE LA RADIOSONDE|MINUTES|0|0|6|NA|0|0
004195|meteoFranceLocal004195|long|NOMBRE D'HEURES ECOULEES ENTRE  L'HEURE D'OBSERVATION GGGG ET   L'HEURE A LAQUELLE SE REFERE LA DERNIERE POSITION|HEURE|0|0|4|NA|0|0
005192|meteoFranceLocal005192|long|DISTANCE W-E DU COIN NW DE L IMAGE AU RADAR|m|0|-1024000|24|NA|0|0
005193|meteoFranceLocal005193|long|DISTANCE W-E SUR LE PLAN DE PROJECTION DU COIN NW DE L'IMAGE|m|0|-1024000|24|NA|0|0
005194|meteoFranceLocal005194|table|INDICATEUR DU CENTRE DE PROJECTION|Code Table|0|0|8|NA|0|0
005195|meteoFranceLocal005195|double|LATITUDE DE REFERENCE|degre|5|-9000000|25|NA|0|0
005217|meteoFranceLocal005217|double|X-LOCATION FROM EARTH'S CENTRE IN DIRECTION 0 EST|m|2|-1073741824|31|NA|0|0
005232|meteoFranceLocal005232|double|DIRECTION (SPECTRAL)|Degree|0|0|12|NA|0|0
006192|meteoFranceLocal006192|long|DISTANCE N-S DU COIN NW DE L IMAGE AU RADAR|m|0|-1024000|24|NA|0|0
006193|meteoFranceLocal006193|long|DISTANCE D APPLICATION DE LA CORRECTION EN 1/R2|m|-3|0|16|NA|0|0
006194|meteoFranceLocal006194|long|PORTEE DE DEBUT DE TRAITEMENT D UN SITE|m|-3|0|16|NA|0|0
006195|meteoFranceLocal006195|long|PORTEE DE FIN DE TRAITEMENT D UN SITE|m|-3|0|16|NA|0|0
006196|meteoFranceLocal006196|long|DISTANCE OBLIQUE MAXIMAL D'UTILISATION DES DONNEES|m|-3|0|16|NA|0|0
006197|meteoFranceLocal006197|long|DISTANCE NS SUR LE PLAN DE PROJECTION DU COIN NW DE L'IMAGE|m|0|-1024000|24|NA|0|0
006198|meteoFranceLocal006198|double|LONGITUDE DU MERIDIEN PARALLELE A L'AXE DES Y|degre|5|-18000000|26|NA|0|0
006217|meteoFranceLocal006217|double|Y-LOCATION FROM EARTH'S CENTRE IN DIRECTION 90 EST|m|2|-1073741824|31|NA|0|0
006232|meteoFranceLocal006232|double|WAVENUMBER (SPECTRAL)|Rads/m|5|0|13|NA|0|0
007192|meteoFranceLocal007192|double|HAUTEUR AU DESSUS DU SOL|M|2|0|15|NA|0|0
007217|meteoFranceLocal007217|double|Z-LOCATION FROM EARTH'S CENTRE IN DIRECTION NORTH POLE|m|2|-1073741824|31|NA|0|0
011195|meteoFranceLocal011195|long|FORCE MAXI DU VENT PENDANT W1W2|BEAUFORT|0|0|4|NA|0|0
011196|meteoFranceLocal011196|long|DIRECTION D'OU SOUFFLE LE VENT  EN ALTITUDE|DEGRE VRAI|0|0|9|NA|0|0
011197|meteoFranceLocal011197|double|VITESSE DU VENT EN ALTITUDE|M/S|1|0|12|NA|0|0
012192|meteoFranceLocal012192|double|TEMPERATURE/DRY-BULB TEMPERATURE|K|2|0|16|NA|0|0
012193|meteoFranceLocal012193|double|WET-BULB TEMPERATURE|K|2|0|16|NA|0|0
012194|meteoFranceLocal012194|double|DEW-POINT TEMPERATURE|K|2|0|16|NA|0|0
012195|meteoFranceLocal012195|double|DRY-BULB TEMPERATURE AT 2M|K|2|0|16|NA|0|0
012196|meteoFranceLocal012196|double|WET-BULB TEMPERATURE AT 2M|K|2|0|16|NA|0|0
012197|meteoFranceLocal012197|double|DEW-POINT TEMPERATURE AT 2M|K|2|0|16|NA|0|0
012198|meteoFranceLocal012198|double|VIRTUAL TEMPERATURE|K|2|0|16|NA|0|0
012202|meteoFranceLocal012202|double|MAXIMUM TEMPERATURE,AT HEIGHT AND OVER PERIOD SPECIFIED|K|2|0|16|NA|0|0
012203|meteoFranceLocal012203|double|MINIMUM TEMPERATURE,AT HEIGHT AND OVER PERIOD SPECIFIED|K|2|0|15|NA|0|0
012204|meteoFranceLocal012204|double|GROUND MINIMUM TEMPERATURE, PAST 12 HOURS|K|2|0|15|NA|0|0
012205|meteoFranceLocal012205|double|MAXIMUM TEMPERATURE AT 2M, PAST 12 HOURS|K|2|0|16|NA|0|0
012206|meteoFranceLocal012206|double|MINIMUM TEMPERATURE AT 2M, PAST 12 HOURS|K|2|0|15|NA|0|0
012207|meteoFranceLocal012207|double|MAXIMUM TEMPERATURE AT 2M, PAST 24 HOURS|K|2|0|16|NA|0|0
012208|meteoFranceLocal012208|double|MINIMUM TEMPERATURE AT 2M, PAST 24 HOURS|K|2|0|15|NA|0|0
012221|meteoFranceLocal012221|double|SOIL TEMPERATURE|K|2|0|16|NA|0|0
012222|meteoFranceLocal012222|double|TEMPERATURE DE LA SURFACE DE LA  NEIGE|K|2|0|15|NA|0|0
012252|meteoFranceLocal012252|double|SKIN TEMPERATURE|K|2|0|16|NA|0|0
012253|meteoFranceLocal012253|double|EQUIVALENT BLACK BODY TEMPERATURE|K|2|0|16|NA|0|0
013194|meteoFranceLocal013194|double|QUANTITE TOTALE DE PRECIPITATIONAU COURS D'UNE CERTAINE PERIODE|Ke/M**2|1|-1|14|NA|0|0
013195|meteoFranceLocal013195|double|HAUTEUR TOTALE DE LA COUCHE DE  NEIGE AU SOL AU POINT DE MESURE D'ALTITUDE|M|2|-2|16|NA|0|0
013196|meteoFranceLocal013196|double|EPAISSEUR DE LA NEIGE FRAICHE   TOMBEE EN ALTITUDE|M|2|-2|12|NA|0|0
013197|meteoFranceLocal013197|double|TENEUR EN EAU LIQUIDE VOLUMIQUE DE LA NEIGE|%|1|0|7|NA|0|0
013198|meteoFranceLocal013198|long|MASSE VOLUMIQUE DE LA NEIGE|KG/M**3|0|0|9|NA|0|0
014192|meteoFranceLocal014192|long|INSOLATION HORAIRE|MINUTES|0|0|6|NA|0|0
015202|meteoFranceLocal015202|double|LOG OF ELECTRON DENSITY|LOG M**-2|3|13000|12|NA|0|0
020193|meteoFranceLocal020193|long|VISIBILITE VERS LA MER A PARTIR D'UNE STATION COTIERE|M|-1|0|13|NA|0|0
020194|meteoFranceLocal020194|table|ETAT DE LA NEIGE|Code table|0|0|4|NA|0|0
020195|meteoFranceLocal020195|double|PROFONDEUR DE PENETRATION DE LA SONDE DE BATTAGE|M|2|0|7|NA|0|0
020196|meteoFranceLocal020196|table|NUAGES DANS LA VALLEE|Code table|0|0|4|NA|0|0
020197|meteoFranceLocal020197|table|CHASSE-NEIGE EN ALTITUDE|Code table|0|0|4|NA|0|0
020198|meteoFranceLocal020198|table|DESCRIPTION AVALANCHES OBSERVEES|Code table|0|0|4|NA|0|0
020199|meteoFranceLocal020199|table|GENRE D'AVALANCHES|Code table|0|0|4|NA|0|0
020200|meteoFranceLocal020200|table|ALTITUDE DEPART DE L'AVALANCHE|Code table|0|0|4|NA|0|0
020201|meteoFranceLocal020201|table|EXPOSITION DE L'AVALANCHE|Code table|0|0|4|NA|0|0
